URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://hl7.org/fhir/us/vrdr/ValueSet/vrdr-activity-at-time-of-death-vs,3.0.0-preview1,draft,,ActivityAtTimeOfDeathVS,Activity at Time of Death ValueSet,"Activity at Time of Death.  Mapping to IJE codes [here](ConceptMap-ActivityAtTimeOfDeathCM.html).",,"THO (V3),Internal"
http://hl7.org/fhir/us/vrdr/ValueSet/vrdr-administrative-gender-vs,3.0.0-preview1,draft,,AdministrativeGenderVS,Administrative Gender ValueSet,"The gender of a person used for administrative purposes.  Mapping to IJE codes [here](ConceptMap-AdministrativeGenderCM.html).",,"hl7.fhir.r4.core"
http://hl7.org/fhir/us/vrdr/ValueSet/vrdr-certifier-types-vs,3.0.0-preview1,draft,,CertifierTypesVS,Certifier Types Value Set,"Certifier Types Value Set  Mapping to IJE codes [here](ConceptMap-CertifierTypesCM.html).",,"THO (V3),SCT"
http://hl7.org/fhir/us/vrdr/ValueSet/vrdr-contributory-tobacco-use-vs,3.0.0-preview1,draft,,ContributoryTobaccoUseVS,Contributory Tobacco Use ValueSet,"Did Tobacco Use Contribute to Death  Mapping to IJE codes [here](ConceptMap-ContributoryTobaccoUseCM.html).",,"THO (V3),SCT"
http://hl7.org/fhir/us/vrdr/ValueSet/vrdr-date-of-death-determination-methods-vs,3.0.0-preview1,draft,,DateOfDeathDeterminationMethodsVS,Date of Death Determination Methods Value Set,"Date of Death Determination Methods Value Set. The method of date of death determination is not used for the Death Record submission process. The binding to this value set is included for compatibility with the Medicolegal Death Investigation ([MDI](https://build.fhir.org/ig/HL7/fhir-mdi-ig/)) Implementation Guide.  The valueset only includes the values used by MDI, but is bound [extensibly](https://hl7.org/fhir/R4/terminologies.html#extensible).  If a jurisdiction chooses to use this field, and requires additional values (e.g., 'presumed'), these values can be used while remaining in full conformance with the VRDR IG.",,"Internal"
http://hl7.org/fhir/us/vrdr/ValueSet/vrdr-death-certification-event-max-vs,3.0.0-preview1,draft,,DeathCertificationEventMaxVS,Event Code for Death Certificate Composition - Max,"The maximum valueset for Event.code for Death Certificate Composition.  Includes an inactive but valid code used in STU2 ",,"SCT"
http://hl7.org/fhir/us/vrdr/ValueSet/vrdr-death-certification-event-vs,3.0.0-preview1,draft,,DeathCertificationEventVS,Event Code for Death Certificate Composition,"The code used for Event.code for the Death Certificate Composition",,"SCT"
http://hl7.org/fhir/us/vrdr/ValueSet/vrdr-death-pregnancy-status-vs,3.0.0-preview1,active,,DeathPregnancyStatusVS,Death Pregnancy Status ValueSet,"A set of codes that reflect whether the decedent was pregnant at or around the time of death. Based on [Pregnancy Status (NCHS)[2.16.840.1.114222.4.11.6003]](https://phinvads.cdc.gov/vads/ViewValueSet.action?oid=2.16.840.1.114222.4.11.6003).",,"THO (V3),Internal"
http://hl7.org/fhir/us/vrdr/ValueSet/vrdr-edit-bypass-01-vs,3.0.0-preview1,draft,,EditBypass01VS,Edit Bypass 01,"A subset of code values (0 and 1) use to indicate the outcome of data validation assessment for unusual data values.",,"hl7.fhir.us.vr-common-library"
http://hl7.org/fhir/us/vrdr/ValueSet/vrdr-edit-bypass-012-vs,3.0.0-preview1,draft,,EditBypass012VS,Edit Bypass 012,"A subset of code values (0, 1, and 2) use to indicate the outcome of data validation assessment for unusual data values.",,"hl7.fhir.us.vr-common-library"
http://hl7.org/fhir/us/vrdr/ValueSet/vrdr-edit-bypass-0124-vs,3.0.0-preview1,draft,,EditBypass0124VS,Edit Bypass 0124,"A subset of code values (0, 1, 2, and 4) use to indicate the outcome of data validation assessment for unusual data values.",,"hl7.fhir.us.vr-common-library"
